train_batch_loss,train_batch_acc,learning_rate
2.107383966445923,0.0625,4.264392324093817e-08
2.057502031326294,0.03125,8.528784648187634e-08
2.099644660949707,0.0625,1.279317697228145e-07
2.0287818908691406,0.03125,1.7057569296375268e-07
2.0057289600372314,0.15625,2.1321961620469084e-07
2.018861770629883,0.0,2.55863539445629e-07
2.117842674255371,0.0625,2.9850746268656716e-07
2.0382938385009766,0.0,3.4115138592750537e-07
2.0490336418151855,0.0625,3.837953091684436e-07
2.0893001556396484,0.0625,4.264392324093817e-07
2.063058376312256,0.0625,4.690831556503199e-07
2.0098612308502197,0.03125,5.11727078891258e-07
2.0970301628112793,0.03125,5.543710021321962e-07
2.079115390777588,0.0625,5.970149253731343e-07
2.199559450149536,0.03125,6.396588486140725e-07
2.0142786502838135,0.03125,6.823027718550107e-07
2.0731935501098633,0.03125,7.249466950959488e-07
2.109266519546509,0.0625,7.675906183368872e-07
2.042546033859253,0.03125,8.102345415778253e-07
2.062544107437134,0.03125,8.528784648187634e-07
2.049649477005005,0.0625,8.955223880597015e-07
2.1444623470306396,0.0,9.381663113006398e-07
2.0228898525238037,0.125,9.808102345415779e-07
2.0303146839141846,0.0625,1.023454157782516e-06
2.049726724624634,0.09375,1.066098081023454e-06
2.080112934112549,0.0,1.1087420042643924e-06
2.054584503173828,0.03125,1.1513859275053305e-06
2.063173294067383,0.0625,1.1940298507462686e-06
2.0535597801208496,0.0625,1.236673773987207e-06
2.060344696044922,0.125,1.279317697228145e-06
2.1039226055145264,0.03125,1.3219616204690834e-06
2.057652711868286,0.03125,1.3646055437100215e-06
2.0133676528930664,0.125,1.4072494669509596e-06
2.039799690246582,0.09375,1.4498933901918977e-06
2.0439794063568115,0.0625,1.4925373134328358e-06
2.0439505577087402,0.03125,1.5351812366737743e-06
2.000645160675049,0.09375,1.5778251599147124e-06
2.0674657821655273,0.03125,1.6204690831556505e-06
2.01975154876709,0.0625,1.6631130063965886e-06
2.064152479171753,0.0625,1.7057569296375267e-06
2.031926155090332,0.0625,1.7484008528784648e-06
2.043290376663208,0.0,1.791044776119403e-06
1.99040949344635,0.125,1.8336886993603415e-06
1.983818769454956,0.125,1.8763326226012796e-06
1.961310863494873,0.125,1.9189765458422177e-06
2.0616443157196045,0.125,1.9616204690831558e-06
2.001760244369507,0.03125,2.004264392324094e-06
2.011589527130127,0.0625,2.046908315565032e-06
2.002037286758423,0.09375,2.08955223880597e-06
2.0289459228515625,0.09375,2.132196162046908e-06
1.9901599884033203,0.0625,2.1748400852878467e-06
1.9944804906845093,0.09375,2.217484008528785e-06
2.006749391555786,0.0625,2.260127931769723e-06
2.0150527954101562,0.125,2.302771855010661e-06
1.9722950458526611,0.09375,2.345415778251599e-06
1.9801913499832153,0.0625,2.3880597014925373e-06
1.9333665370941162,0.21875,2.4307036247334758e-06
2.033254384994507,0.03125,2.473347547974414e-06
2.018063545227051,0.15625,2.515991471215352e-06
2.003689765930176,0.03125,2.55863539445629e-06
1.9566795825958252,0.125,2.601279317697228e-06
1.960302710533142,0.125,2.6439232409381667e-06
1.9901751279830933,0.09375,2.686567164179105e-06
1.9314403533935547,0.03125,2.729211087420043e-06
1.929517149925232,0.15625,2.771855010660981e-06
1.9731446504592896,0.03125,2.814498933901919e-06
1.9795751571655273,0.15625,2.8571428571428573e-06
1.9292455911636353,0.125,2.8997867803837954e-06
1.941231369972229,0.09375,2.9424307036247335e-06
1.922396183013916,0.15625,2.9850746268656716e-06
1.929186224937439,0.15625,3.0277185501066105e-06
1.8775187730789185,0.21875,3.0703624733475486e-06
1.9314967393875122,0.125,3.1130063965884867e-06
1.9360541105270386,0.125,3.155650319829425e-06
1.8802467584609985,0.15625,3.198294243070363e-06
1.8943545818328857,0.1875,3.240938166311301e-06
1.9040260314941406,0.21875,3.283582089552239e-06
1.9539601802825928,0.125,3.3262260127931773e-06
1.9184750318527222,0.15625,3.3688699360341154e-06
1.8866077661514282,0.0625,3.4115138592750535e-06
1.9223988056182861,0.28125,3.4541577825159916e-06
1.8550382852554321,0.3125,3.4968017057569297e-06
1.8491125106811523,0.25,3.5394456289978678e-06
1.7940770387649536,0.1875,3.582089552238806e-06
1.8433500528335571,0.25,3.624733475479744e-06
1.9031692743301392,0.15625,3.667377398720683e-06
1.854981541633606,0.21875,3.710021321961621e-06
1.9251915216445923,0.09375,3.752665245202559e-06
1.8667247295379639,0.21875,3.7953091684434973e-06
1.869260311126709,0.3125,3.837953091684435e-06
1.862230658531189,0.375,3.8805970149253735e-06
1.8205093145370483,0.34375,3.9232409381663116e-06
1.8895968198776245,0.1875,3.96588486140725e-06
1.885717511177063,0.3125,4.008528784648188e-06
1.8385896682739258,0.3125,4.051172707889126e-06
1.8534841537475586,0.5,4.093816631130064e-06
1.8552772998809814,0.3125,4.136460554371002e-06
1.8365389108657837,0.34375,4.17910447761194e-06
1.7883180379867554,0.53125,4.221748400852878e-06
